"band_id","member_uri","name","current_member","member_id"
360,"  http://dbpedia.org/resource/Blake_Richardson  ","  Blake Richardson   ",True,1057
360,"  http://dbpedia.org/resource/Paul_Waggoner  ","  Paul Waggoner   ",True,8466
362,"  http://dbpedia.org/resource/Shawn_Christensen  ","  Shawn Christensen   ",True,9868
365,"  http://dbpedia.org/resource/Pedro_Aznar  ","  Pedro Aznar   ",True,8487
365,"  http://dbpedia.org/resource/Oscar_Moro  ","  Oscar Moro   ",True,8222
365,"  http://dbpedia.org/resource/Charly_García  ","  Charly García   ",True,1672
368,"  http://dbpedia.org/resource/Johan_Edlund  ","  Johan Edlund   ",True,5238
368,"  http://dbpedia.org/resource/Anders_Iwers  ","  Anders Iwers   ",True,405
372,"  http://dbpedia.org/resource/Rhim  ","  Rhim   ",True,8971
374,"  http://dbpedia.org/resource/Savvas_Ysatis  ","  Savvas Ysatis   ",True,9668
374,"  http://dbpedia.org/resource/Taylor_Deupree  ","  Taylor Deupree   ",True,10510
379,"  http://dbpedia.org/resource/Pat_Mastelotto  ","  Pat Mastelotto   ",True,8297
379,"  http://dbpedia.org/resource/Tony_Levin  ","  Tony Levin   ",True,10986
379,"  http://dbpedia.org/resource/Markus_Reuter  ","  Markus Reuter   ",True,7014
388,"  http://dbpedia.org/resource/Jim_Cregan  ","  Jim Cregan   ",True,4967
388,"  http://dbpedia.org/resource/Rob_Townsend  ","  Rob Townsend   ",True,9261
388,"  http://dbpedia.org/resource/Roger_Chapman  ","  Roger Chapman   ",True,9299
390,"  http://dbpedia.org/resource/Matthew_Nelson  ","  Matthew Nelson   ",True,7209
390,"  http://dbpedia.org/resource/Gunnar_Nelson_(musician)  ","  Gunnar Nelson   ",True,3958
391,"  http://dbpedia.org/resource/Jerry_Gaskill  ","  Jerry Gaskill   ",True,4878
391,"  http://dbpedia.org/resource/Doug_Pinnick  ","  Doug Pinnick   ",True,3011
391,"  http://dbpedia.org/resource/Ty_Tabor  ","  Ty Tabor   ",True,11144
392,"  http://dbpedia.org/resource/Max_Cavalera  ","  Max Cavalera   ",True,7295
392,"  http://dbpedia.org/resource/Marc_Rizzo  ","  Marc Rizzo   ",True,6830
392,"  http://dbpedia.org/resource/Zyon_Cavalera  ","  Zyon Cavalera   ",True,11546
